Lat, Lon
31.857547,-112.688893
31.871656,-112.561832
31.885663,-112.43474
31.899569,-112.307617
31.913373,-112.180463
31.927075,-112.053279
31.940676,-111.926065
31.954175,-111.798821
31.967572,-111.671547
31.980868,-111.544244
31.994061,-111.416911
32.007153,-111.289549
32.020143,-111.162158
32.033031,-111.034739
32.045817,-110.907291
32.058502,-110.779815
32.071084,-110.652311
32.083564,-110.524779
32.095942,-110.397219
32.108219,-110.269632
32.120393,-110.142018
32.132465,-110.014377
32.144435,-109.886709
32.156303,-109.759015
32.168068,-109.631294
32.179732,-109.503548
32.191293,-109.375775
32.202752,-109.247977
32.214109,-109.120153
32.225363,-108.992304
32.236515,-108.864431
32.247565,-108.736532
32.258513,-108.608609
32.269358,-108.480662
32.280101,-108.35269
32.290741,-108.224695
32.301279,-108.096676
32.311715,-107.968633
32.322048,-107.840567
32.332278,-107.712479
32.342406,-107.584367
32.352432,-107.456233
32.362355,-107.328077
32.372175,-107.199899
32.381893,-107.071698
32.391508,-106.943476
32.401021,-106.815233
32.41043,-106.686968
32.419738,-106.558683
32.428942,-106.430377
32.438044,-106.30205
32.447043,-106.173703
32.455939,-106.045335
32.464733,-105.916948
32.473424,-105.788542
32.482012,-105.660116
32.490497,-105.53167
32.498879,-105.403206
32.507159,-105.274723
32.515336,-105.146222
32.523409,-105.017702
32.53138,-104.889164
32.539248,-104.760609
32.547013,-104.632036
32.554675,-104.503445
32.562235,-104.374838
32.569691,-104.246213
32.577044,-104.117572
32.584294,-103.988914
32.591441,-103.860241
32.598486,-103.731551
32.605427,-103.602845
32.612265,-103.474124
32.619,-103.345388
32.625632,-103.216636
32.632161,-103.08787
32.638586,-102.959089
32.644909,-102.830294
32.651128,-102.701484
30.189246,-124.492237
30.21276,-124.368882
30.236176,-124.245477
30.259494,-124.122022
30.282715,-123.998519
30.305837,-123.874967
30.328861,-123.751366
30.351786,-123.627716
30.374614,-123.504018
30.397343,-123.380272
30.419974,-123.256478
30.442507,-123.132636
30.464941,-123.008747
30.487277,-122.88481
30.509514,-122.760825
30.531652,-122.636794
30.553692,-122.512715
30.575634,-122.38859
30.597476,-122.264418
30.61922,-122.1402
30.640865,-122.015936
30.662411,-121.891626
30.683858,-121.76727
30.705207,-121.642868
30.726456,-121.51842
30.747606,-121.393928
30.768657,-121.26939
30.789609,-121.144808
30.810462,-121.02018
30.831216,-120.895508
30.85187,-120.770792
